Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Fare_log
0,3,1.0,22.0,1,0,7.25,2.0,1.9810014688665833
1,1,0.0,38.0,1,0,71.2833,0.0,4.26666207838721
1,3,0.0,26.0,0,0,7.925,2.0,2.0700223197633445
1,1,0.0,35.0,1,0,53.1,2.0,3.9721769282478934
0,3,1.0,35.0,0,0,8.05,2.0,2.0856720914304723
0,1,1.0,54.0,0,0,51.8625,2.0,3.948595985658986
0,3,1.0,2.0,3,1,21.075,2.0,3.048087503887919
1,3,0.0,27.0,0,2,11.1333,2.0,2.409940617298087
1,2,0.0,14.0,1,0,30.0708,0.0,3.4035546012358333
1,3,0.0,4.0,1,1,16.7,2.0,2.8154087194227095
1,1,0.0,58.0,0,0,26.55,2.0,3.279029747687948
0,3,1.0,20.0,0,0,8.05,2.0,2.0856720914304723
0,3,1.0,39.0,1,5,31.275,2.0,3.442819056352975
0,3,0.0,14.0,0,0,7.8542,2.0,2.061048420562944
1,2,0.0,55.0,0,0,16.0,2.0,2.772588722239781
0,3,1.0,2.0,4,1,29.125,1.0,3.371596911885865
0,3,0.0,31.0,1,0,18.0,2.0,2.8903717578961645
0,2,1.0,35.0,0,0,26.0,2.0,3.258096538021482
1,2,1.0,34.0,0,0,13.0,2.0,2.5649493574615367
1,3,0.0,15.0,0,0,8.0292,1.0,2.0830848965946345
1,1,1.0,28.0,0,0,35.5,2.0,3.56953269648137
0,3,0.0,8.0,3,1,21.075,2.0,3.048087503887919
1,3,0.0,38.0,1,5,31.3875,2.0,3.4464097244837033
0,1,1.0,19.0,3,2,263.0,2.0,5.572154032177765
0,1,1.0,40.0,0,0,27.7208,0.0,3.32218303393412
0,2,1.0,66.0,0,0,10.5,2.0,2.3513752571634776
0,1,1.0,28.0,1,0,82.1708,0.0,4.408800007809053
0,1,1.0,42.0,1,0,52.0,2.0,3.9512437185814275
0,3,1.0,21.0,0,0,8.05,2.0,2.0856720914304723
0,3,0.0,18.0,2,0,18.0,2.0,2.8903717578961645
1,3,0.0,14.0,1,0,11.2417,0.0,2.419630078580691
0,3,0.0,40.0,1,0,9.475,2.0,2.24865675096849
0,2,0.0,27.0,1,0,21.0,2.0,3.044522437723423
